n1,n2,n3,n4,darija_ar,eng
ch3ir,,,,شعير,barley
9rfa,9arfa,9erfa,qarfa,قرفا,cinnamon
kmmon,kmmoun,kammoun,kemmon,كمّون,cumin
9ronfl,9ronfel,9ronfal,,قرونفل,cloves
z3fran,z3efran,z3afran,,زعفران,saffron
z3tr,ze3tr,za3ter,z3tar,زعتر,thyme
chrab,,,,شراب,drink
chchrab,,,,الشراب,alcohol
birra,,,,بيرّا,beer
atay,,,,أتاي,tea
7lib,7alib,hlib,,حليب,milk
3aSir,,,,عاصير,juice
fTor,fTour,,,فطور,breakfast
ghda,,,,غدا,lunch
3cha,,,,عشا,dinner
ma9adir,maqadir,,,ماقادير,ingredients
jo3,jou3,,,جوع,hunger
3Tch,3Tech,3Tach,,عطش,thirst
rijim,,,,ريجيم,diet
cha8ia,cha8iyya,chahia,,شاهيا,appetite
mchwi,mechwi,machwi,,مشوي,grilled
m9li,me9li,ma9li,,مقلي,fried
m7mmr,m7ammar,m7emmer,,محمّر,roasted
mgrml,mgermel,mgarmel,mgarmal,مڭرمل,crunchy
khDr,khDer,khDar,5Dr,خضر,raw
bnin,bnyn,,,بنين,delicious
nachf,nachef,nachaf,,ناشف,dry
7lo,7lou,7low,,حلو,sweet
7arr,,,,حارّ,spicy
marr,morr,,,مارّ,bitter
7amD,7ameD,7amaD,,حامض,sour
m7roug,m7rog,m7rog,m7ro9,محروڭ,burned
lkhell,khell,5ell,,لخلّ,vinegar
bTaTa frit,bTaTafrit,,,بطاطا فريت,french fries
s99aTa,,,,سقّاطا,candy
mada9,madaq,,,ماداق,flavor
Tajin,Tagine,,,طاجين,Tagine
Tanjia,Tnjia,Tnjyya,Tanjyya,طانجيا,Tanjia
bsTila,besTila,basTila,,بسطيلا,bastila
m7nncha,m7enncha,m7anncha,,محنّشا,mhancha
f99as,fe99as,,,فقّاس,faqqas
k3bghzal,k3b ghzal,ke3b lghzal,ka3b ghzal,كعبغزال,kaab ghzal
sellou,sllou,sello,,سلّو,sellou
briwat,briouat,,,بريوات,briwat
chbbakia,chebbakia,chbakia,,شبّاكيا,chebbakia
ghriba,ghoriba,,,غريبا,ghriba
9richlat,qrichlat,,,قريشلات,qrichlat
rzzt l9aDi,razzat l9aDi,rezzat l9aDi,,رزّت لقاضي,razzat el cadi
